cod.produto,cod.vendedor,quantidade
001,101,3
002,202,2
003,303,1
004,404,4
005,505,2
006,606,1
007,707,3
008,808,2
009,909,1
010,1010,5
001,202,2
002,303,3
003,404,1
004,505,4
005,606,2
006,707,1
007,808,3
008,909,2
009,1010,1
010,101,5
001,303,3
002,404,2
003,505,1
004,606,4
005,707,2
006,808,1
007,909,3
008,1010,2
009,101,1
010,202,5
001,404,3
002,505,2
003,606,1
004,707,4
005,808,2
006,909,1
007,1010,3
008,101,2
009,202,1
010,303,5
001,505,3
002,606,2
003,707,1
004,808,4
005,909,2
006,1010,1
007,101,3
008,202,2
009,303,1
010,404,5
001,606,3
002,707,2
003,808,1
004,909,4
005,1010,2
006,101,1
007,202,3
008,303,2
009,404,1
010,505,5
001,707,3
002,808,2
003,909,1
004,1010,4
005,101,2
006,202,1
007,303,3
008,404,2
009,505,1
010,606,5
001,808,3
002,909,2
003,1010,1
004,101,4
005,202,2
006,303,1
007,404,3
008,505,2
009,606,1
010,707,5
001,909,3
002,1010,2
003,101,1
004,202,4
005,303,2
006,404,1
007,505,3
008,606,2
009,707,1
010,808,5
